"assigned_MP","group1","group2","group1_mean","group1_sd","group2_mean","group2_sd","mean_difference","fold_change","wilcox_p","t_test_p","cohens_d","wilcox_p_adj","t_test_p_adj","min_p","min_p_adj","significance"
"MP1","Control","Folfiri",0.3356,0.067,0.091,0.0284,-0.2447,0.271,0.0286,0.0024,4.755,0.0571,0.0062,0.0024,0.0062,"**"
"MP1","Control","Proagio",0.3356,0.067,0.0999,0.0279,-0.2358,0.2976,0.0286,0.0029,4.5943,0.0571,0.0062,0.0029,0.0062,"**"
"MP1","Control","Proagio+Folfiri",0.3356,0.067,0.0614,0.0126,-0.2742,0.1829,0.0286,0.0031,5.691,0.0571,0.0062,0.0031,0.0062,"**"
"MP1","Proagio","Proagio+Folfiri",0.0999,0.0279,0.0614,0.0126,-0.0385,0.6147,0.0571,0.0634,1.7764,0.0857,0.0951,0.0571,0.0857,"ns"
"MP1","Folfiri","Proagio+Folfiri",0.091,0.0284,0.0614,0.0126,-0.0296,0.6749,0.1143,0.1278,1.3446,0.1371,0.1533,0.1143,0.1371,"ns"
"MP1","Folfiri","Proagio",0.091,0.0284,0.0999,0.0279,0.0089,1.098,0.6857,0.6706,0.3161,0.6857,0.6706,0.6706,0.6706,"ns"
"MP2","Control","Proagio",0.4513,0.0774,0.7855,0.0456,0.3342,1.7406,0.0286,8e-04,5.258,0.0571,0.0026,8e-04,0.0026,"**"
"MP2","Control","Folfiri",0.4513,0.0774,0.7829,0.0755,0.3317,1.735,0.0286,9e-04,4.3366,0.0571,0.0026,9e-04,0.0026,"**"
"MP2","Control","Proagio+Folfiri",0.4513,0.0774,0.8337,0.0221,0.3825,1.8476,0.0286,0.0013,6.7161,0.0571,0.0026,0.0013,0.0026,"**"
"MP2","Proagio","Proagio+Folfiri",0.7855,0.0456,0.8337,0.0221,0.0483,1.0615,0.1143,0.1242,1.3456,0.1714,0.1863,0.1143,0.1714,"ns"
"MP2","Folfiri","Proagio+Folfiri",0.7829,0.0755,0.8337,0.0221,0.0508,1.0649,0.3429,0.2749,0.9135,0.4114,0.3298,0.2749,0.3298,"ns"
"MP2","Folfiri","Proagio",0.7829,0.0755,0.7855,0.0456,0.0026,1.0033,0.8857,0.9561,0.0409,0.8857,0.9561,0.8857,0.8857,"ns"
"MP3","Proagio","Proagio+Folfiri",0.1047,0.0202,0.0537,0.0137,-0.051,0.513,0.0286,0.0077,2.9527,0.0857,0.0463,0.0077,0.0463,"*"
"MP3","Control","Proagio+Folfiri",0.1855,0.0784,0.0537,0.0137,-0.1318,0.2895,0.0286,0.0415,2.3427,0.0857,0.1245,0.0286,0.0857,"ns"
"MP3","Control","Folfiri",0.1855,0.0784,0.0906,0.0286,-0.0948,0.4887,0.0571,0.0892,1.6079,0.0857,0.1338,0.0571,0.0857,"ns"
"MP3","Folfiri","Proagio+Folfiri",0.0906,0.0286,0.0537,0.0137,-0.0369,0.5924,0.0571,0.0753,1.6494,0.0857,0.1338,0.0571,0.0857,"ns"
"MP3","Control","Proagio",0.1855,0.0784,0.1047,0.0202,-0.0808,0.5644,0.1143,0.129,1.4121,0.1371,0.1547,0.1143,0.1371,"ns"
"MP3","Folfiri","Proagio",0.0906,0.0286,0.1047,0.0202,0.014,1.1547,0.4857,0.4564,0.567,0.4857,0.4564,0.4564,0.4564,"ns"
"MP4","Proagio","Proagio+Folfiri",0.0133,0.0079,0.0512,0.015,0.0379,3.8444,0.0571,0.0088,2.9989,0.3429,0.0529,0.0088,0.0529,"ns"
"MP4","Folfiri","Proagio",0.0355,0.0202,0.0133,0.0079,-0.0222,0.3752,0.1143,0.1151,1.3465,0.3429,0.3453,0.1143,0.3429,"ns"
"MP4","Control","Proagio",0.0368,0.021,0.0133,0.0079,-0.0235,0.3612,0.2,0.1828,1.4827,0.4,0.3657,0.1828,0.3657,"ns"
"MP4","Folfiri","Proagio+Folfiri",0.0355,0.0202,0.0512,0.015,0.0157,1.4424,0.3429,0.2628,0.8815,0.48,0.3942,0.2628,0.3942,"ns"
"MP4","Control","Proagio+Folfiri",0.0368,0.021,0.0512,0.015,0.0143,1.3885,0.4,0.38,0.8116,0.48,0.456,0.38,0.456,"ns"
"MP4","Control","Folfiri",0.0368,0.021,0.0355,0.0202,-0.0014,0.9626,1,0.9344,0.067,1,0.9344,0.9344,0.9344,"ns"
